nbl,eng
"ilutjha ligugu lethu elikhulu kunawo woke vukuzenzele unnamed ngomhla we16 ku mgwengweni 1976, ilutjha lesoweto begodu nakezinye iindawo zelizwe lekhethu lasikimela phezulu la lwisana nobumbi behlelo yefundo ebeyikhethiselwe isitjhaba esinzima elalibizwa ngebantu education.
","the youth are our greatest asset vukuzenzele unnamed on june 16th 1976, the youth of soweto and other parts of the country rose up against the iniquity of bantu education.
"
"ngelangelo nemalangeni alandelako, abantu abanengi baloba amaphilwabo, bafa ubujadajada.
","on that day and in the days that followed, many lost their lives.
"
"babulawa mbuso obewunesihlungu obewuqalela phasi amaphilo wabantu abanzima begodu ebewubona kulula ukudumuza abentwana besikolo bembethe izembatho zesikolo bangakaphathi iinkhali.
","they were killed by a callous regime that had little regard for black lives and thought nothing of opening fire on unarmed, uniformed schoolchildren.
"
"izehlakalwezi ziqinise imi bono yamazwe ngamazwe bona kunesidingo sokuja melana nombuso webandlu lulo (iapartheid).
","these events hardened international opinion against the apartheid regime and gave further impetus to the liberation struggle.
"
"abantu abatjha bebasolo badosa phambili emzabalazweni wokunzinzisa ihlalakuhle yabantu, kusukela ngomzabalazo owawu lwisana nelatin america ngeminyaka yabo1950, bewafika eafrika zombelele ngeminyaka yabo1960.
","young people have always been at the forefront of social protest, from the antiauthoritarian protests in latin america in the late 1950s, to the protests across africa in the late 1960s.
"
"umlando ngokuthembeka uveza ukuzinikela kwesizukulwana somnyaka we1976 embuthweni wabafundi wephasi zombelele nangokujamelana kwawo negandelelo nokungabi nobulungiswa.
","history faithfully records the contribution of the generation of 1976 to the international student movement and its stance against oppression and injustice.
"
"isehlakalo lesi seminyakeni edlulileko ema45 siragela phambili ngokukhunjulwa enarhakazini yeafrika begodu nephasini loke zo mbelele.
","this historic event 45 years ago continues to be commemorated across africa and the world.
"
"ngakhoke kuyadanisa ukobana ilwazi ngelanga lomhla we16 kumgwe ngweni lincipha hlangana nelutjha lesewula afrika.
","it is therefore disturbing that knowledge of june 16th is diminishing among young south africans.
"
"lokhu kudlange khulu hlangana nelutjha elaziwa ngokuthi yigeneration z nofana abantu abatjha ababelethwe kusukela ngomnyaka we1997 ukuya kewee2015.
","this is particularly so among the socalled generation z, or young people born between 1997 and 2015. the 2019/2020 south african social attitudes survey published by the human sciences research council found that close to 40% of generation z has not heard of the historical events of june 16th.
"
"isouth african social attitudes survey yango 2019/2020 egadangiswe mkhandlu wezerhubhululo lezesayensi yabantu (ihsrc) ithole bona pheze ama40% wegeneration z khenge khebezwe ngezehlakalo zomlando kajune 16. abamaphesende afanako khebezwa ngazo kodwana bazi okuncani khulu ukuya ekungazini litho ngazo.
","a similar percentage has heard about it but knows very little or nothing about it.
"
"nanyana kunjalo, iimfu ndo zithole bona abantu abatjha balesi sizukulwana bazimisele ngokufunda ngezehlakalo zomlando ezi qakathekileko begodu baya kholelwa ekuqakathekeni kwazo ukuya phambili.
","nevertheless, the survey also found that young people of this generation are open to learning about key historical events and believe in their continued importance.
"
"kutlhogeka bona senze likhulu sililizwe ukuqinisekisa bona umlayezo ka1976 udluliselwa elutjheni ngokuthembekileko.
","we need to do more as a country to ensure that the message of 1976 is transmitted faithfully.
"
"lokhu kumsebenzi karhulumende, iinkolo, amaziko wefundo ephakemeko, ababelethi, abavumi ngitjho nomphakathi woke.
","this is a collective responsibility of government, schools, tertiary institutions, parents, families, musicians, artists, and all of society.
"
"isizukulwana esibelethwe ngemva kobana iapartheid iphele sizuze ilizwe elinomthethosisekeko we ntanto yenengi begodu lapha amalungelo avikeleke khona.
","the generation that was born after apartheid ended inherited a country with a democratic constitution and where fundamental freedoms are protected.
"
"amathuba atholwa lilutjha labantu abanzima namhlanje ahluke khulu kwamambala begodu sekangcono khulu.
","the opportunities young black people have today are both vastly different and greatly improved.
"
"ukugcina indaba yomhla ka16 kumgwengweni isi khumbuzo esizukulwaneni sanamhlanje ngokuzidela okukhulu okwaphephisa ikululeko yabo.
","keeping the story of june 16th alive is a reminder to today’s generation of the great sacrifices made to secure their freedom.
"
"ilanga labantu abatjha sikhumbuzo ngamandla amakhulu begodu nangomsebenzi ekufanele bawenze ukwakha ikusasa elingcono ekungelabo.
","youth day is a reminder of the immense power and agency that young people have to create a better future for themselves.
"
"iintjhijilo zabantu abatjha besewula afrika namhlanje zinengi.
","the struggles of young people in south africa today are many.
"
"abantu abatjha ba hlala badosa phambili emza balazweni, akukhethi bona bafuna ifundo yasimahla nofana balwisana nokumbi okwenzakala emphakathini okufana nokuhlunguphazwa ngokobulili.
","young people have remained at the forefront of activism, whether in pursuit of free education or against social ills like genderbased violence.
"
"namhlanje umzabalazo abantu abatjha abaqalene nawo kulwisana nokukhuphuka kwamazinga woku ngatholi imisebenzi solo kwehla ingogwana yecovid19.
","today the greatest struggle young people wage is against unemployment, which has worsened under the covid19 pandemic.
"
"ukuvulela abantu abatjha amathuba amanengi, begodu nokufinyelela kwelutjha emathubeni la kuyinto eliqalontanzi likarhulumende.
","creating more opportunities for young people, and access to these opportunities, is government’s foremost priority.
"
"koke esikwenzako singu rhulumende kusiza eku thuthukiseni amaphilo wa bantu abatjha.
","everything that we do as a government contributes towards improving the lives of young people.
"
"ukuqalana nomraro wokungasebenzi kwelutjha kufuna bona kube nokukhula okumsinya kwezomnotho, khulukhulu imikhakha yezabasebenzi, begodu nekwakheni ikghono lombuso ukufeza indima yawo yokuthuthuka.
","tackling youth unemployment requires accelerating economic growth, particularly in labourintensive sectors, and building the capability of the state to fulfil its developmental role.
"
"sisaraga ngehlelo ngoku ngenelela kilokhu okuhlosi weko.
","we are also driving this agenda through targeted interventions.
"
"lokhu kufaka hlanga na ihlelo likamengameli lokusungulela ilutjha imisebenzi, elilethe ama thuba wemisebenzi begodu nokusekelwa kwamaphilo wabantu abatjha.
","these include the presidential employment stimulus, which has provided work opportunities and livelihoods support for many young people.
"
