eng,afr
"step by step guide on using a facemask vukuzenzele unnamed the national department of health recommends that everyone in south africa should wear a cloth facemask (also known as a nonmedical mask) when in public.
","tapvirstap gids vir die gebruik van gesigmaskers vukuzenzele unnamed die nasionale departement van gesondheid beveel aan dat almal in suidafrika n materiaalgesigmasker (ook genoem n niemediese masker) dra wanneer hulle in die openbaar is.
"
"commuters travelling in taxis and other forms of public transport, as well as people spending time in spaces where physical distancing is difficult to practice, are mustwear cloth facemasks.
","pendelaars wat taxi's en ander vorme van openbare vervoer gebruik, asook mense wat tyd op plekke deurbring waar dit moeilik is om jou fisies van ander mense te distansieer, word veral aangemoedig om gesigmaskers te dra.
"
"the main benefit of everyone wearing a facemask is to reduce the amount of coronavirus (covid19) being coughed up by those with the infection thereby reducing its spread through droplets.
","die hoofvoordeel wanneer almal n gesigmasker dra, is dat dit die hoeveelheid koronavirus (covid19) druppels wat deur mense wat die virus het, uitgehoes word, verminder, wat dus die verspreiding deur druppels beperk.
"
"since some people with the coronavirus may not have symptoms or may not know they are infected, everyone should wear a facemask.
","almal behoort n gesigmasker te dra, aangesien sommige mense, wat die koronavirus het, nie simptome het nie of nie weet dat hulle die virus het nie.
"
"cloth facemask respiratory hygienecloth facemasks are recommended as part of respiratory hygiene or etiquette which also includes coughing and sneezing into a bent elbow or a tissue.
","asemhalingshigiëne vir die dra van materiaalgesigmaskers materiaalgesigmaskers word as deel van asemhalingshigiëne of reëls aanbeveel, wat onder meer bepaal dat jy in jou gebuigde elmboog of n snesie moet hoes of nies.
"
"the facemask must cover the nose and mouth completely.
","die gesigmasker moet die neus en mond heeltemal bedek.
"
"facemasks should not be lowered when speaking, coughing or sneezing.
","gesigmaskers behoort nie afgehaal te word wanneer daar gepraat, gehoes of genies word nie.
"
"it is very important that cloth masks are used correctly.
","dit is baie belangrik dat materiaalgesigmaskers reg gebruik word.
"
"incorrect use might result in users putting themselves at risk of spreading covid19.
","die verkeerde gebruik kan daartoe lei dat gebruikers hulself daaraan blootstel om covid19 te versprei.
"
"even when you are wearing a mask you must still: wash your hands observe social distancing remember to sneeze and cough into your elbow avoid touching your eyes, nose or mouth with unclean hands.
","selfs al dra jy n masker, moet jy steeds: jou hande was sosiale afstand handhaaf onthou om in jou gebuigde elmboog te hoes of te nies nie met ongewaste hande aan jou oë, neus of mond raak nie.
"
"the public should not use surgical (medical) or n95 respirator masks because these are reserved for healthcare workers and other medical first responders.
","die publiek behoort nie chirurgiese (mediese) maskers of n95asemhalingsmaskers te gebruik nie, want dit word vir gesondheidsorgwerkers en ander frontlinie mediese personeel gespaar.
"
"may 2020 edition 2how to handle your cloth mask 1. only use a mask that has been washed and ironed.2.
","vmei 2020 uitgawe 2hoe om jou materiaalmasker te hanteer 1. gebruik slegs 'n masker wat gewas en gestryk is.2.
"
"wash your hands before putting the mask on.3.
","was jou hande voordat jy die masker opsit.3.
"
"place the mask with the correct side facing your face, and ensure that it covers both your nose and mouth properly.4.
","sit die masker met die regte kant na jou gesig toe op en maak seker dat dit jou neus en mond behoorlik bedek.4.
"
"tie the strings behind your head, or if you are using elastic bands, make sure these are tight.5.
","bind die toutjies agter jou kop vas, of as jy rekkies gebruik, maak seker dat die rekkies die masker styf vashou.5.
"
"make sure it fits well.
","maak seker dat dit goed pas.
"
"move it around to get the best fit.
","beweeg dit rond totdat dit goed pas.
"
"never touch the cloth part.6.
","moet nooit aan die materiaalgedeelte vat nie.6.
"
"once you have put on the mask, do not touch your face again until you take it off.7.
","wanneer jy die masker opgesit het, moet jy nie aan jou gesig vat voordat jy dit afgehaal het nie.7.
"
"when you take it off, undo the ties, and carefully fold the mask inside out, hold it by the strings/elastic and place the mask in a container reserved for washing the cloth mask.8.
","wanneer jy die masker afhaal, maak die toutjies los, vou die masker onderstebo, hou dit vas aan die toutjies/rekkies en sit dit in 'n houer wat spesifiek vir die was van materiaalmaskers opsygesit is.8.
"
"wash your hands thoroughly and dry before do ing anything else.9.
","was jou hande deeglik en droog hulle behoorlik af voordat jy enigiets anders doen.9.
"
"you must have at least two cloth masks per person so you will be able to wash one and have a clean one ready for use.10.
","daar moet minstens twee materiaalmaskers per persoon wees sodat een gewas kan word en daar een skoon masker vir gebruik is.10.
"
"masks should be washed with soap and hot water, rinsed thoroughly and ironed.
","maskers moet met seep en warm water gewas word, behoorlik uitgespoel en gestryk word.
"
"the importance of social distancing in the battle against the highly infectious covid19, social distancing is extremely important to help curb the spread of this disease across the country.
","die belangrikheid van sosiale afstand sosiale afstand is uiters belangrik in die stryd teen covid19 omdat dit help om die verspreiding van dié siekte regoor die land te beperk.
"
"social distancing is about keeping a safe distance of about 2 metres from others so that you reduce the transmission of covid19.
","sosiale afstand beteken dat jy 'n veilige afstand van ongeveer 2m van ander mense af moet wegbly, sodat jy die oordrag van covid 19 beperk.
"
"this practice is very important while we are in the midst of the coro navirus epidemic where the virus spreads from person to person via an infected person passing droplets through sneezing, coughing or talking.
","dié gewoonte is baie belangrik terwyl ons middein die koronavirusepidemie is, waar die virus van persoon tot persoon oorgedra word wanneer druppels van iemand wat die virus het, deur nies, hoes of praat, versprei.
"
"the implementation of social distancing and the lockdown in south africa is essential in flattening the curve, which is indicated by the number of infected people dropping.
","die toepas van sosiale afstand en die staat van inperking in suidafrika is noodsaaklik om die kurwe gelyk te maak, wat aangedui word deur ’n afname in die aantal mense wat die virus opdoen.
"
this information was supplied by the department of health,"dié inligting is deur die nasionale departement van gesondheid, verskaf."
