ssw,afr
"kuhushula sisu lokuphephile nalokusemtsetfweni kumahhala allison cooper asikho sizatfu sekutsi bomake basebentise imitfolamphilo lengekho emtsetfweni nendlela lengakaphephi nangabe bafuna kuhushula sisu.
","veilige en wettige aborsies is gratis allison cooper daar is geen regverdiging vir vrouens om n onwettige en onveilige aborsiekliniek te besoek as hulle hul swanger skappe wil beëindig nie.
"
"loku kushiwo lisekela lendvuna yetemphilo, dkt.
","dit is volgens die adjunkminister van gesondheid, dr. sibongiseni dhlomo, wat verduidelik dat alle vrouens ingevolge die wet die reg het om hul swangerskappe tydens die eerste 12 weke gratis by n staatshospitaal of kliniek te beëindig.
"
"sibongiseni dhlomo, lochaza kutsi, ngekwemtsetfo, bonkhe bomake banelilungelo lekuhushula tisu, mahhala, emtfolamphilo wahulumende nome esibhedlela sahulumende ngesikhatsi semaviki ekucala la12.
","""dit kwel ons, as regeringsleiers, om te sien hoe ons mense veilige en gratis gesondheidsdienste verlaat, om welke rede ook al, om die laaste geld wat hulle nie het nie te betaal aan iemand wat hul lewens in gevaar stel.
"
"""kusivisa buhlungu tsine njengebaholi bahulumende kubona bantfu bakitsi bayekela tinsita tetemphilo letiphephile netamahhala, akukhatsalekile kutsi bakwenta ngasiphi sizatfu loko, bahambe bayewusebentisa imali yabo yekugcina labete nanayo bayewukhokhela umuntfu lotawubeka imphilo yabo ebungotini.
","daar is geen regver diging vir vrouens om n onwettige en onveilige aborsiekliniek te gebruik as hulle hul swanger skappe wil beëindig nie.
"
"kute sizatfu lesinebulungiswa lesingenta bomake kutsi balungise kukhulelwa lokungakahlelwa ngekusebentisa indlela lengekho emtsetfweni nalengakaphephi yekuhushula leso sisu ngobe sonkhe siyawenta emaphutsa.
","onwettige aborsie is nie die antwoord nie,"" sê dr. dhlomo.
"
"kuhushula sisu lokungekho emtsetfweni akusiyo imphendvulo,"" kusho dkt.
","die departement van gesondheid het 346 staatsgesondheidsfasiliteite wat dienste vir die veilige beëindiging van swangerskappe verskaf, voeg hy by.
"
"dhlomo.
","dié fasiliteite is in die ooskaap (46), vrystaat (16), gauteng (25), kwazulunatal (56), limpopo (54), mpumalanga (27), noordkaap (ses), noordwes (26) en weskaap (90) geleë.
"
"litiko letemphilo linetisetjentiswa tetemphilo letinge346 letisita ngekuhushula tisu ngendlela lephephile, kwengeta yena.
","komplikasies van onwettige aborsies die waarnemende direkteur van moederen kindergesondheid by kwazulunatal se departement van gesondheid, phalanndwa muthuphei, sê dat vrouens heelwat komplikasies kan ervaar wanneer hulle n aborsie by n onwettige aborsie kliniek kry.
"
"letisetjentiswa tetemphilo titfolakala emphumalanga kapa (46), efreyistata (16) egauteng (25), kwazulunatal (56), elimpopo (54), empumalanga (27), enyakatfo kapa (6) enyakatfo nshonalana (26) nasenshonalanga kapa (90) tinkinga tekuhushula sisu ngalokungekho emtsetfweni libambela lemcondzisi wetabomake nebantfwana nemphilo yabomake elitikweni letemphilo kwazulunatal, phalanndwa muthuphei, utsi bomake bangahlangabetana netinkinga letinyenti nabahushula tisu emtfolamphilo wekuhushula tisu longekho emtsetfweni.
","""die onmiddellike komplikasies behels ernstige bloeding, die serviks wat skeur, ernstige skade aan die geslagsdele en buik, inwendige infeksie van die buik en bloedvergif tiging.
"
"""tinkinga tamasinyane tifaka ekhatsi kopha kakhulu, kudzabuka kwemlomo wesibeletfo, konakala kakhulu kwetitfo tangasese kanye nesisu, kutseleleka ngelufu ngekhatsi esiswini kanye nekungenwa ngushevu kwengati.
","""vrouens kan oor die langtermyn n effens verhoogde vlak van onvrugbaarheid, n ektopiese swangerskap, n miskraam of voortydige geboorte of selfs die dood in die gesig staar,"" sê muthuphei.
"
