xho,sep
"kunganqandwa njani ukukhulelwa kwamantombazana afikisayo vukuzenzele unnamed zikhona iindle la zokunqanda ukukhulelwa kwamantombazana afikisayo, eziquka ukukhetha ukungabelani ngesondo ude ube utshatile okanye ukulungele ukuba naba ntwana.
","ka fao o ka thibelago go ima ga batšwamahlalading vukuzenzele unnamed go nale mekgwa ya go fapafapana ya go thibela go ima ga batšwamahlalagad ing, mekgwa yeo e akaretša go ikgethela go se tsenele thobalano go fihlela o nyetšwe goba ge o itokišeditše go ba le bana.
"
"abanye abantu bacinga ukuzila ukwabelana ngesondo (ukukhetha ukungabelani ngesondo ude ube utshatile) yindlela yakudala, ngelixa abanye becinga ukuba yeyona ndlela ilungileyo yokuziphatha.
","batho ba bangwe ba na gana gore go ikilela (go ikgethela go se tsenele thobalano go fihlela ge o nyetšwe) ke dilo tša kgale, mola ba bangwe ba bona e le botho go dira bjalo.
"
"amantombazana afikisayo, ngoko ke, kufuneka azithathele ngokwawo isigqibo.
","go le bjalo, batšwamahlalading ba swanetše go itšeela diphetho.
"
"uninzi lwabantu alufuni kulinda lude lutshate phambi kokuba lwabelane ngesondo.
","batho ba bantši ga ba nyake go leta go fihlela ge ba nyalwa pele ba ka tsenela thobalano.
"
"kwakhona alufuni kungxama ukwenza nantoni na luze lwenze iimpazamo ezinkulu.
","ebile ga ba nyake go phakiša go dira dilo le go dira diphošo tše kgolo.
"
"ngamanye amaxesha bathatha isigqibo sokucinga ukuba yeyona nto ingcono ukulibazisa ukuzibandakanya kwezesondo bade babe badala ngokwaneleyo, futhi bangabantu abayaziyo into abayifunayo, umntu athandane nomntu omnye aqinisekileyo ngaye kwaye abe uyaphangela.
","gantši ba tšea sephetho sa gore go diegiša go tsenela tša thobalano go fihlela ge e le ba bagolo, ba nale maikarabelo, ba le ka gare ga dikamano tša go se tekateke mo ba ratanago le motho wo tee ebile ba šoma ke kgetho ye kaonekaone ye ba ka e letelago.
"
"ukuba ukhetha ukuzila okanye ukulibazisa ukwabelana ngesondo, zikhona ezinye izinto onokuzenza ukuzikhusela: bakhethe ngononophelo abahlobo bakho.
","ge o ikgethela go ikilela goba go diega go tsenela thobalano, go nale dilo tšeo o ka di dirago go itšhireletša: kgetha bagwera ba gago ka šedi ye kgolo.
"
"abahlobo kufuneka bakuqwenelele okukulungeleyo kwaye kufuneka basihloniphe isigqibo sakho sokunga belani ngesondo.
","ba gwera ba mmakgonthe ba swanetše go go ratela dilo tše botse ebile ba swanetše go hlompha sephetho sa gago sa go se tsenele thobalano.
"
"lumkela ukuzifaka kwiimeko ezingakhuselekanga, njengabahlobo abasela utywala okanye abasebenzisa iziyobisi kuba oku kungakhokelela ekubeni kwabelanwe ngesondo ngokungakhuselekanga.
","hlokomela maemo ao a ka dirago gore o ikwe o sa bolokega, go swana le bagwera ba go nwa goba ba go diriša diokobatši, tšeo di ka dirago gore o feletše o tsenetše thobalano ya go se bolokege.
"
"walumkele amaqabane athi ukuba uyawathanda uza kulala nawo.
","hlokomela balekani bao ba o botšago gore o swanetše go robala le bona ge o ba rata.
"
"mamela uze ufunde kwabo bathe bakhulelwa besaqala ukufikisa.
","theeletša le go ithuta go bao ba ilego ba ima e le batšwamahlagading gore ba fetile bjang.
"
"bayazazi ii mpazamo kunye nezithi ntelo.
","ba tseba diphošo tša gona le ditlamo rago tše mpe.
"
"mamela uze ufunde kubazali bakho ngamava obomi.
","theleetša le go ithuta go tšwa batswading ba gago ka maitemogelo a bona a bophelo.
"
"ukuba ugqiba kwelokuba ukuzila ukwabelana ngesondo okanye ukulibazisa ukwabelana ngesondo ayisosigqibo sikulungeleyo kwaye awufuni kulinda, thatha ixesha ufunde malunga nokhuseleko, kuquka izithintelikukhulelwa, ezikukusebenzisa indlela ethile (izixhobo ezifana nekhondomu okanye iipilisi) zokunqanda ukukhulelwa.
","ge o tšea sephetho sa gore go ikilela le go diega go tsenela thobalano ga se diphetho tše kaone tšeo di go loketšego wa ikgethela gore o ka se kgone go ema, tšea nako go ithuta ka fao o ka itšhireletšago ka gona, go akaretšwa le dithibelapelegi, e lego go šomiša mokgwa (wa setlwaedi goba wa dikhemikhale) go thibela go ima.
"
"zininzi izithintelikukhulelwa ezisebenza ngeendlela ezahlukileyo, kodwa zonke zenzelwe ukunqanda ukukhulelwa.
","go nale dithibelapelegi tša go šoma ka ditsela tša go fapafapana, eupša ka moka di diretšwe go thibela go ima.
"
"ziquka izithintelikukhulelwa eziselwayo, ezaziwa ngokuba ‘yipilisi’; izithintelikukhulelwa eziyinaliti; kunye neekhondomu zamadoda nezabafazi.
","tšona di akaretša dithibelapelegi tše ka tšewago go swana le dipilisi; dithibelapelegi tša go hlabelwa; le dikhontomo tša banna le tša basadi.
"
"ndingenza ntoni ukuba ndikhulelwe?
","nka dira eng ge ke imile?
"
"ukuba ucinga ukuba ukhulelwe, hamba nomntu omthembayo uye kwikliniki ekufuphi uyokwenza uvavanyo lokukhulelwa.
","ge o gonona gore o kaba o imile, sepela le motho yo o mo tshephago go ya kiliniking ya kgauswi gore o dirwe diteko tša go ima.
"
"ukuhlukuhla (ukunikezelwa kwenkathalelo kosana olungekazalwa) kubalulekile kwaye amaxa amaninzi kuqala kwiiveki ezisibhozo ukhulelwe.
","tlhokomelo ya baimana (go hlokomela masea ao a sa lego ka dipopelong tša bommagobona) e bohlokwa ebile ka setlwaedi e thoma ka dibeke tše seswai.
"
"ikliniki ekufutshane nawe ingakunceda xa ufuna ukuya kuhlukuhla futhi umsebenzi wenkathalelo yezempilo ongunompilo wakho angakuncedisa ukwenza isicwangciso esikufaneleyo wena nosana lwakho.
","kliniki ya kgauswi le wena e ka go thuša ka tlhokomelo ya baimana ebile mošomedi wa tlhokomelo ya maphelo o tla go thuša go hlama thulaganyo yeo e loketšego wena le lesea la gago.
"
"ukuba ukhulelwe, kubalulekile ukuba utye ukutya okusempilweni okunezondlo, uzivocavoce, ulale ngokwaneleyo kwaye ungazisebenzisi iziyobisi nokusela notywala.
","ge o imile, go bohlokwa gore o je dijo tše loketšego mmele tša phepo, o itšhidulle, o robale nako ye lekanego le go efoga diokobatši le madila.
"
"*olu lwazi lukhutshwe lisebe lezempilo lakwazulunatala.
","*tshedimošo ye le e tlišetšwa ke kgoro ya maphelo ya kwazulunatal.
"
"ukukhulelwa usaqala ukufikisa kuza kuba negalelo kubomi bakho bonke, kodwa zikhona iindlela zokuzigcina ukhuselekile ekukhulelweni okungacwangciswanga.","go ima ge o le motšwamahlagading go tla ama bophelo ba gago ka moka, eupša go nale mekgwa yeo o ka e latelago gore o seke wa ima o sa ipeakanyetša."
