ssw,nbl
"vikela kusha kulobusika allison cooper njengoba nje busi ka buta nesidzi ngo sekutigcina ufutfumele, kuphindze kukhuphule netingoti tekulimala ngekushiswa ngemakhandlela, mililo, titofu, tifutfumeti nemanti labilako.
","khandela ukutjhiswa mlilo ebusika allison cooper njengombana ubusika buza nesidingo sokufuna ukuzifuthumeza nje, lokho kukhuphula amazinga wo bungozi bokulimala ngo kutjha okubangelwa ma khandlela, imililo, iintofu, iimfuthumezi ezinjengamaheater namanzi abilako.
"
"""kulimala ngekusha kwandza kakhulu ebusika kantsi batali nebanakekeli kudzingeka kutsi bacaphele kakhulu kucinisekisa kuphepha kwabo nekwebantfwana babo,"" kusho dokotela gary dos passos.
","""isibalo sokulimala ngokutjha siyanda ngesikhathi sebusika begodu ababelethi nabatlhogomeli babentwana kumele batjheje ngokupheleleko ukuqinisekisa ukuphepha kwabo nekwabentwana babo"", kutjho udorhodere ugary dos passos.
"
"uyinhloko yengcenye yalabashile esibhedlele ired cross war memorial children's hospital (ircwmch) futsi ulilungu lelikomidi lelisetulu leburn society of south africa.
","oyikulu yeburns unit esibhedlela ired cross war memorial children’s hospital (rcwmch) begodu ulilunga labadosi phambili beburn society of south africa.
"
"nanoma mililo leyenteka ngengoti ingeke igwemeke, kulimala ngekusha lokuningi kungavinjelwa ngekugadza, kubhasobha kwalabadzala ngendlela lefanele kanye nekulandzela tindlela tekuphepha.
","njengombana imililo ethoma kungakahloseki ingeze yabalekelwa nje, ukulimala ngokutjha kungavinjwa ngokuqaphela, ngokutlhogomela kwabantu abadala begodu nangokuphepha.
"
"""tilondza tekusha ngelilangabi tikulimala lokukhubako emphilweni yonkhe lokunemiphumela lebonakalako emtimbeni nasengcondvweni yebantfu labasindzile kanye nemindeni yabo,"" kusho dkt dos passos.
","""ukutjha ngelangabi kukulimala okumbi khulu okunomphumela weembazi ezihlala nomuntu ipilwakhe yoke begodu nokuhlunguphazeka ngokomkhumbulo kibongazimbi nemindeni yabo,"" kutjho udorh dos passos.
"
"ungakuvikela njani kushakulimala ngekusha kungavinjelwa ekhaya.
","ungakuvikela bunjani ukutjha ukulimala ngokutjhiswa mlilo emakhaya kungavinjwa ngalindlela: ● beka iinthoro zomlilo, amalighter, amaaccelerants (ipetroli nepharafeni), amakhandlela, igezi, namalampa wepharafeni begodu namaheater kude nalapha abentwana bafikelela khona.
"
"nawa lamanye emathiphu: beka umetjiso, kwekulumeka, tivutsisi (iphethroli naphalafini), emakhandlela, tibani tegesi netaphalafini kanye netifutfumeti lapho bantfwana bangafikeli khona.
","● ungalahleli amaaccelerants ngaphakathi kwelangabi.
"
"ungajikijeli tivutsisi emalangabini.
","lokho kuyingozi khulu.
"
"loko kuyingoti lenkhulu kabi.
","● ungavumeli abentwana badlalele eduze nepharafeni nofana amalampa wegezi nofana amaheater.
"
"ungavumeli bantfwana kutsi badlale edvute naphalafini kumbe tibani tegesi kumbe tifutfumeti.
","● ungagugi umntwana usaphekile nofana ungasukeli abentwana bangakatjhejwa mumuntu ngephunyaneni/ngekhwitjhini nofana eduze nalo.
"
"ungaphatsi umntfwana uma upheka kumbe ushiye bantfwana bangakabhasojwa ekhishini noma edvute nalo.
","● qinisekisa bona iketlela ikude.
"
"ciniseka kutsi ligedlela alikho lapho bangafika khona.
","thenga iketlela enganantambo nawukghonako.
"
"tsenga ligedlela lelite intsambo nangabe uyakhona.
","● ungagugi umgqomu ofuthumeza amanzi (iurn) nofana iimpoto ezinamanzi abilako eduze nabentwana.
"
"ungaphatsi sibilisimanti kumbe emabhodo lanemanti labilako lapho kunebantfwana khona.
","● jikisa iimbambo zepoto uziqalise kude nangaphambili kwestofu.
"
"gucula tibambo temabhodo tingabi phambili esitofini.
","● beka amakhandlela ngaphakathi kwebhodlelo lerhalasi elinehlabathi ngaphakathi ukuze nakungenzeka awe awele ehlabathini bese ayacima.
"
"faka emakhandlela ebhodleleni lengilazi lelinenhlabatsi phasi ngekhatsi kwalo kuze kutsi emakhandlela atocisha uma awa.
","● ungacimi imililo ngehlabathi.
"
"ungavali mlilo ngenhlabatsi.
","umtjhiso uhlala ehlabathini amairi ambalwa.
"
"kushisa kuhlala sikhatsi lesidze enhlabatsini.
","● thoma uthele amanzi amakhaza ebhavini, ngemva kwalokho uthele atjhisako.
"
"faka emanti labandzako ebhavini kucala, bese ungeta emanti lashisako.
","zwelela amanzi wokuhlamba ngendololwana ngaphambi kokuwasebenzisa.
"
"sonkhe sikhatsi yiva emanti lasebhavini ngengcoza kucala.
","nawungazithola utjhiswa mlilo, jama, ziphose phasi begodu ugedeke khona kuzakuqima ilangabi.
"
"uma utfola kulimala ngekushiswa malangabi, yima, tiwise phasi ugicike kuze ucime lamalangabi.
","‘’umtjhiso obuya emlilweni, emanzini atjhisako nofana ukutjha okubangelwe yigezi kuzokuragela phambili kutjhise inyama yangaphakathi ngemva kwesikathi kususiwe esikhumbeni.
"
"""kushisa kwemlilo, emanti lashisako kumbe kushiswa ngugezi kutochubeka nekushisa ticubu temtimba sikhatsi lesidze sekususiwe loku lokukushisako.
","""jamisa ukutjha ngokuhlalisa isitho somzimba ebesitjha ngenzasi kwepompi evulelweko yamanzi amakhaza imizuzu ematjhumi amabili.
"
"""cedza lokusha ngekugcina lencenye yemtimba leshile ngaphasi kwemanti labandzako empompi imizuzu lenge20.
","ungasebenzisi irhwaba, amanzi anerhwaba, ibhodoro nofana into eyenziwe ngamafutha lapha utjhe khona,"" kutjho udorh dos passos.
"
"ungasebentisi iayisi, emanti layiayisi, bhotela noma umkhicito longemafutsa lapho ushe khona,"" kusho dkt dos passos.
","viindabazombelelethe pebbles project and ukbased tea company twinings have teamed up help farmworkers stay healthy.
"
vlokuvamilethe pebbles project and ukbased tea company twinings have teamed up help farmworkers stay healthy.,.
