ssw,sep
"kwakha kabusha timphilo netindlela tekutiphilisa emva kwetikhukhula vukuzenzele unnamed sekusikhatsi lecishe sibe tinyanga letimbili kusukela kwabanetikhukhula letinemandla letabanga tinkinga kuyo yonkhe ikwazulunatali, imphumalanga kapa kanye nenyakatfo nshonalanga, letibange kutsi kube nekulahleka lokukhulu kwemphilo kanye nekulimala kwempha hla nesakhiwonchanti.
","go agaleswa maphelo le mekgwa ya boiphedišo morago ga mafula vukuzenzele unnamed e šetše e le dikgwedi tša go ka ba tše pedi go tloga mola mafula a magolo a sentšego go kgabaganya dikarolo tša diprofentshe tša kwazulunatal, kapa bohlabela le leboa bodikela, a hlotše tahlegelo ye kgolo ya bophelo le tshenyo ya thoto le mananeokgoparara.
"
"ngisandza kuvakashela ethekwini kwazulunatali kuyohlangana nabosomabhizinisi balelidolobhakati kute sendlulise kubasekela kumitamo yabo yekuphindza babuyisela kusebenta kwetintfo.
","malobanyana ke etetše kwazulunatal go kopana le borakgwebo ka toropong ya ethekwini go ba fa thekgo ya rena go tsoša dikgwebo tša bona.
"
"ngesikhatsi kwenteka lenhlekelele yemvelo, kube nekukhatsateka kutsi baphatsi abanawo emandla noma sifiso sekuphe ndvula ngendlela lefanele nalesebentako kulesimo salabo labalahlekelwe ngiko konkhe bebanako.
","ge masetlapelo a a tlhago a fihla, go be go na le dihlobaelo tša gore makala a pušo a be a sena bokgoni goba go se tšeye magato gabotse le ka tshwanelo go maemo a mabe a bao ba lahlegetšwego ke tšohle.
"
"uma sengiya kwesibili kulelidolobhakati kusukela kwaba naletikhukhula, kwangicacela kutsi lokukhatsateka bekungakafaneli.
","go ba ke etetše gabedi toropong ya ethekwini go tloga mola go bago le mafula, ke a kwešiša gore hlobaelo ye ga se e lebišwe lefelong la maleba.
"
"ikwazulunatali, njengoba kunjalo nasemphumalanga kapa nasenyakatfo nshonalanga, bonkhe labadlala indzima bebasebenta ngekutikhandla kute balulame kulesehlakalo lesibuhlungu.
","go la kwazulunatal, go swana le kapa bohlabela le leboa bodikela, bakgathatema ka moka ba be ba šoma ka thata go kokotlela go tšwa ditiragalong tše tša manyami.
"
"sikhungo savelonkhe sekulawula inhlekelele besichumanisa yonkhe imikhakha yahulumende kumitamo yaso yekuletsa lusito lwetebuntfu emindenini leminengi letsintsekile.
","sentha ya bosetšhaba ya taolo ya masetlapelo e be e sepetša mešomo ka moka ya mmušo ka maiteko a wona a go fana ka mošomo wa botho go imolla malapa a mantši ao a amegilego.
"
"kube yintfo lejabulisako kubona tinhlangano letitimele tingenelela tisebentisana nahulumende kute tinikete lusito loludzingeka kakhulu.
","go be go thabiša go bona dihlopha tša mekgatlo ye e sego ya mmušo, mekgatlo ya kgwebo le ya kimollo e šomišana le mmušo go fa thušo ya kimollo ye e nyakwago kudu.
"
"bonkhe laba labadlala indzima bebanika bantfu kudla, timphahla tekugcoka, tingubo tekulala, tekunakekela mtimba kanye netimphahla tesikolo emindenini lebutsakatsaka kute ikhone kumelana netidzingo letisisekelo.
","bakgathetema ba ka moka ba abetše malapa ao a amegilego gampe dijo, diaparo, mapai, diphuthe lwana tša go fa basadi seriti le diyunifomo tša sekolo gore ba be le dinya kwa tša bona tša motheo.
"
"tinsita tekuhlala kungu nyalo tisaniketwa ebantfwini labangetulu kwe 7 000 kuletigodzi letine letishayeke kakhulu kwazulunatali.
","ka se sebaka ditirelo tša go fa batho madulo di fiwa batho ba go feta ba 7 000 ka dileteng tše nne tše di amegilego kudu go ka kwazulunatal.
"
"umsebenti wekwakha tindlu tesikhashana sewucalile kumindeni letsintsekile nemhlaba wahulumende sewukhonjiwe kwazulunatali kute bahlaliswe kabusha kuwo.
","mošomo wa go agela malapa ao a amilwego madulo a nakwana o thomile mo dikarolong tša naga tša ya go laolwa ke mmušo tšeo di hlaoletšwego go ba tša madulo ka moso go la kwazulunatal.
"
"litiko letasekhaya, letemphilo nelekutfutfukiswa kwetenhlalo nawo bewancedza imindeni letsintsekile kute ikhone kufinyelela kutinsita leti mcoka.
","dikgoro tša merero ya selegae, maphelo le tlhabollo ya leago di be di thuša ditšhaba tše di amegilego go fihlelela ditirelo tše bohlokwa.
"
"sibonelo, emahhovisi labomahamba nendlwane ancedza labo labalahlekelwa madokhumenti abo labucayi ngaletikhukhula kute bakhone kutfola emakhadi lamasha emaid nangekuphindza kukhishwe letinye titifiketi tekutalwa.
","mohlala, diyuniti tša go thetha di thuša bao ba lahlegetšwego ke ditokomane tša bohlokwa mafuleng go hwetša dismart id tše diswa le go ntšha gape ditifikeiti tša matswalo.
"
"tinsita letingumahamba nendlwane tetemphilo, letifaka kugomela icovid19, nato tiyabonelelwa ebantfwini etindzaweni lapho khona takhiwo tingasebenti ngalokuphelele.
","ditirelo tša go thetha tša maphelo, go akaretšwa le tša mekento ya covid19, di fiwa batho ka mafelong ao ditlabakelo di sa hlwago di šoma ka botlalo.
"
"tindlela tekukhokhela tibonelelo tahulumende tilungisiwe kulabo labatsintsekile.
","dipeakanyo tša go lefa batho ba ba amegago ka mphiwafela wa leago di dirilwe.
"
"tindlu tekufundzela letingumahamba nendlwane titsengiwe kute kufundza nekufundzisa kungaphatamiseki sikhatsi lesidze etikolweni letitsintsekile ngaletikhukhula.
","diphapošiborutelo tša go thetha di a rekwa gore go ithuta le go ruta go se ke gwa kgaotšwa sebaka sa go feta tekano ka dikolong tše di amilwego ke mafula.
"
"umsebenti wekulu ngisa tindzawo tekuhlanta emanti, titeshi temaphayiphi netekuhanjiswa kwemanti utawentiwa.
","mošomo o tšwelapele go lokiša bohlwekišetšo bja meetse a ditšhila bjo bo senyegilego, ditiši tša dipompo le mafarahlahla a kabo ya meetse.
"
"imigwaco leyalimala iyalungiswa.
","ditsela tše di senyegilego di a lokišwa.
"
"kuhlelwe kutsi kwakhiwe emabhuloho lamasha lalishumi nesiphohlongo njengencenye yeluhlelo iwelisizwe rural bridges.
","maporogo a maswa a lesomeseswai a beakantšwe bjalo ka karolo ya lenaneo la go aga maporogo a metsemagae la welisizwe.
"
"kube khona futsi inchubekela embili lenkhulu ekulungiseni sakhiwonchanti lesimcoka lesisekela lichweba lasethekwini.
","gape go bile le kgatelopele mo go lokišeng mananeokgoparara a bohlokwa a go thekga port of durban.
"
"ngenca yekubaluleka kwalelichweba kumnotfo wavelonkhe nowevekati, kuhamba kwemikhumbi sekubuyele esimeni, kusebenta kwetikhumulo nako kubuyela kusebenta ngalokuphelele futsi umsebenti wekulungisa imizila yetitimela leyalimala nawo uyachubeka.
","ka lebaka la bohlokwa bja boemakepe go ikonomi ya bosetšhaba le ya kontinente, sephethephethe sa boemakepe se lokišitšwe, mešomo ya ditheminale e tšwelapele ka botlalo le mošomo wa go lokiša mananeokgopaprara a ditimela ao a senyegilego a tšwela pele.
"
"kunetindlela letengetiwe letibekiwe tekunika kusekela ngetimali kuwo omabili emabhizinisi lamancane nalamakhulu latsintsekile.
","magato a tlaleletšo a a beakanywa go fa thekgo ya ditšhelete go bobedi dikgwebo tše kgolo le tše nyane tše di amilwego gampe.
"
"loku kufuneka kwenteke masinyane kute kucinisekiswe kutsi emabhizinisi ahlala asebenta nekutsi ematfuba emisebenti ahlala asimeme.
","se se nyakega bjalo ka sa tšhoganetšo go kgonthiša gore dikgwebo di ka phološwa le gore mešomo e ka šireletšwa.
"
"etikhatsini letehlukene temlandvo wentsandvoyelinyenti, sihlangabetane netigameko netimo leti nkhulu letilinga kutibophelela kwebantfu bakitsi kanye nekusebenta ngalokufanele kwetikhungo tetfu.
","mo dinakong tša go fapana mo historing ya temokrasi ya rena, re lebane le ditiragalo le maemo ao a lekilego kgotlelelo ya batho ba gaborena le go šoma botse ga diinstitšhušene tša rena.
"
"sibone kubambisana lokungakajwayeleki nekusekelwa kwemindeni kwemimmango yakwazulunatali, yasemphumalanga kapa neyasenyakatfo nshonalanga.
","re bone ba e ba ngatana e tee le go feta mo go thekgeng ditšhaba tše di amilwego go la kwazulunatal, kapa bohlabela le leboa bodikela.
"
"bomasipala bendzawo nabohulumende betifundza bebasebentisana nematiko avelonkhe kanye nemaejensi awo kute asite bantfu bakhe kabusha timphilo tabo nekwenta kutsi umnotfo wendzawo uphindze ubuyele usebente futsi.
","mebušo ya profentshe le ya mmasepala e be e šomišana kudu le dikgoro tša bosetšhaba le dientšentshi go kgontšha batho go agaleswa maphelo a a bona le go bušetša ikonomi ya mafelo ao maemong.
"
