ssw,eng
"kutfutfukiswa kwalabamnyama ngekwetemnotfo ngulokufanele ekukhuliseni umnotfo vukuzenzele unnamed ngenyanga kamabasa kulonyaka, kube nekutsengiselana lokuyinchophamlandvo lokumayelana nekutfutfukiswa kabanti kwalabamnyama ngekwetemnotfo lokuphotfulwe emphumalanga kapa lokwente ncono kakhulu kutimbandzakanya kwemabhizinisi laphetfwe bomake labamnyama kumkhakha wetemandla.
","black economic empowerment a must for growth vukuzenzele unnamed in april this year, a landmark broadbased black economic empowerment transaction was concluded in the eastern cape that significantly improves the participation of black womenowned businesses in the energy sector.
"
"sikhumulo semafutsa etimoto lasamanti lamanyenti lesiphetfwe bakabp southern africa eeast london sitsengiselwe iwasaa, lokuyinkampani letimele lekhicita emakhemikhali aphethiloli.
","a liquid bulk fuel terminal operated by bp southern africa in east london has been sold to wasaa, an independent petrochemicals company.
"
"wasaa utfole yonkhe imphahla lesuswako yalesikhungo kanye nemashezi e20% kumaphayiphi lahambisa amafutsa.
","wasaa has acquired all the terminal’s moveable assets and a 20 percent share in berthtoterminal pipelines.
"
"umbiko wanga2020 wekhomishini yekutfutfukiswa kabanti kwalabamnyama ngekwetemnotfo ukhombisa kutsi imikhakha leminyenti yetemnotfo isilela emuva ngemigomo yebunikati babomake labamnyama, lokutfolakala kwalokutsengiselana yinka mpani yemafutsa etimoto lamanti lephetswe umake lomnyama kuyintfutfuko le yinchophamlandvo.
","with the 2020 report by the broadbased black economic empowerment commission showing that most economic sectors are falling short of their black women ownership targets, this acquisition by a black and femaleowned company of a liquid fuel terminal is a historic development.
"
"kufaka ligalelo kumtamo wetfu wavelonkhe wekulungisa kungalingani kanye nekucinisekisa kutsi kunekutimbandzakanya lokuvakalako kumnotfo walelive kwebantfu balelive labanyenti.
","it contributes to our national effort to redress inequality and ensure there is meaningful participation by the country’s majority in our economy.
"
"kungasikudzala kangakanani, ngimemetele kucokwa kwemkhandlu wekweluleka ngekutfutfukiswa kabanti ngekwetemnotfo kwebantfu labamnyama, lowakhiwa nguhulumende, ngemabhizinisi, basebenti, kanye nalabanye labatsintsekako.
","recently, i announced the appointment of the new broadbased black economic empowerment advisory council, which comprises government, business, labour and other stakeholders.
"
"wasungulelwa kutsi uhole embili umkhankhaso wekuletsa tingucuko kutemnotfo.
","it was established to champion the cause of economic transformation.
"
"lomkhandlu uvela kumbiko wekhomishini yebee leyawukhipha wanga2001.
","the council has its origins in a 2001 report produced by the bee commission.
"
"lombiko wasuselwa kusifundvolucwaningo lolubanti lolumayelana nemumo wemnotfo waseningizimu afrika, nekutsi yini loko lebekudzingekile kute kuguculwa umnotfo, kukhuliswe emabhizinisi alabamnyama, kucinisekisa kutsi kunelulawulo lolukhulu kanye nebunikati bemabhizinisi, kanye nekufaka bomake labamnyama kumkhakha lomkhulu wemnotfo.
","this report emanated from an extensive study into the structure of the south african economy, and what was needed to transform the economy, grow black entrepreneurship, ensure greater black management and ownership of busines ses, and bring black women into the mainstream of the economy.
"
"kulomnyaka lotako, kutawube sekuphele iminyakalishumi lemibili kusukela umtsetfo wekutfutfukiswa kabanti kwebantfu laba mnyama ngekwetemnotfo (ibbbee) – lokunguwo lowasungula lomkhandlu – waphasiswa.
","next year, it will be two decades since the broadbased black economic empowerment (bbbee) act – which established the council – was passed.
"
"kutinikela kwetfu ekugciliseni nasekujuliseni kutfutfukiswa kwetemnotfo ngeke kunyakatiswe lutfo.
","our commitment to entrench and deepen economic empowerment is unwavering.
"
"kungaleso sizatfu kutsi kutfutfukiswa ngekwetemnotfo kuyincenye lehlangene nekwakha kabusha temnotfo wetfu kanye nekuvuseteleka kabusha ngemuva kwekuvuka kulolubhubhane lwecovid19.
","that is why black economic empowerment is an integral part of our economic reconstruction and recovery in the wake of the covid19 pandemic.
"
"loku ngulokunye kweticinisekiso lengatisho kumkhandlu wemabhizinisi alabamnyama ekucaleni kwalenyanga lephelile, lapho sacocisana khona ngesimo sebbbee kulelive, inchubekelembili leseyentiwe nekutsi yini loko lekumele kutsi sikwente ngekuhlanganyela kute sakheni loko lesitakuzuza.
","this is one of the reassurances i articulated to the black business council earlier last month, where we discussed the state of bbbee in the country, the progress that has been made and what we need to do as a collective to build on our gains.
"
"nanome kube nenchubekelembili lemcoka kuleminyakalishumi lemibili leyengcile, kunetindzawo letitsite lapho kube nekubuyela emuva.
","while there has been significant progress over the last two decades, there are some areas where there has been regression.
"
"sibuyele emuva mayelana nekwandzisa lulawulo lwa labamnyama, kutfutfukiswa kwemakhono, kugcilisa kutfutfukiswa kwemabhizinisi kanye nekwengeta kutsengwa kute kunikwe bomake labamnyama ematfuba kanye nelusha.
","we have gone backwards when it comes to increasing black management control, upscaling skills development, entrenching enterprise deve lopment and broadening procurement to give opportunities to black women and the youth.
"
"hulumende welubandlululo wakha ngemabomu umnotfo longekho esimeni lesihle lowawakhiwe ngendlela yekutsi kuzuze kuphela bantfu labamhlophe.
","the apartheid government deliberately built a distorted economy designed to benefit white people.
"
"linyenti lebantfu baseningizimu afrika lakhishelwa eceleni kumnotfo lomkhulu, ngekutsi bosomabhizinisi labamnyama bangena kuphela etimbonini tekutse ngisa letincane emalokishini.
","the majority of south africans were marginalised from the mainstream economy, with black entrepreneurs confined to small retail industries in the townships.
"
"ekupheleni kwelubandlululo, tinkampani talabamnyama letibhalisiwe kujse betingephasi kweliphesenti linye.
","at the end of apartheid, black ownership of jselisted companies was less than 1 percent.
"
"lenombolo ayikabincono kuleminyaka lengema28 leyengcile.
","this figure has not improved much in the past 28 years.
"
