zul,ven
"gwema ukusha kulobu busika allison cooper njengoba ubusika budinga ukuthi si fudumale, buphi nde bandise ubungozi bo kushiswa amakhandlela, imililo, izitofu, izifudumezi kanye namanzi abilayo.
","kha vha thivhele u swa nga vhuno vhuriha allison cooper musi vhuriha vhu tshi ḽisa ḽhoḽea ya vhududo, vhu dovha hafhu ha engedza khovhakhombo ya u huvhala nga u swa nga makhanḽela, mililo, zwiḽofu, hithara khathihi na maḽi a u fhisa.
"
"""ukusha kuba mandla ka khulu ngesikhathi sasebusika futhi abazali nabanakekeli kudingeka ukuthi bacophelisise ukuqinisekisa ukuphepha kwabo nokwezingane zabo,"" kusho udokotela ugary dos passos.
","""mafuvhalo a u swa a ḽalesa nga tshifhinga tsha vhuriha ngauralo vhabebi na vhaḽhogomeli vha fanela u ḽhogomela na u fhirisa u itela u khwaḽhisedza tsireledzo yavho na ya vhana vhavho,"" vho ralo vho dokotela gary dos passos.
"
"ungumphathi wengxenye yabashile esibhedlela ired cross war memorial chi ldren’s hospital (ircw mch) aphinde abe ilungu lekomidi labaphathi beburn society of south africa.
","ndi muhulwane wa yunithi ya zwa mafuvhalo a u swa ngei red cross war memorial children’s hospital (rcwmch) na u vha muraḽo wa komiti ya vhulanguli kha burn society of south africa.
"
"nakuba imililo eyenzeka ngephutha ingeke yagwemeka, ukulimala ngokusha okuningi kungagwemeka ngokuqaphelisisa okufanele, komuntu omdala kanye nokulandela izindlela zokuphepha.
","musi zwiwo zwa mililo i songo lavhelelwaho zwi sa thivhelei, mafuvhalo manzhi a u swa a nga kona u thivhelwa nga u dzula wo fhaḽuwa, ḽhogomelo kwayo nga vhahulwane khathihi na u shumiswa ha mililo nga nḽila yo tsireledzeaho.
"
"""ukushiswa ngumlilo ku yalimaza futhi kunomthelela omkhulu wempilo yonke nangokwengqondo kulabo abasindile kanye nemindeni yabo,"" kusho udkt udos passos.
","""u swa nga mulilo ndi mafuvhalo mahulwane ane a vha na masiandaitwa a ḽamani na muhumbuloni na mutakalo kha vho ponyaho na vha miḽa yavho,"" vho ralo vho dokotela dos passos.
"
"ungakugwema kanjani ukushaukushiswa ngumlilo ku ngagwemeka ekhaya.
","ri nga thivhela hani u swamafuvhalo a u swa a nga thivhelwa henefho hayani.
"
"nawa amanye amasu: gcina umentshisi, okoku thungela umlilo, okubhe bhethekisa masinya umlilo (uphethiloli nophalafini), amakhandlela, izibani zegesi nezikaphalafini kanye nezifudumezi kude nalapho kufinyelela khona abantwana.
","dziḽwe ngeletshedzo khedzi: kha vha vhee metshisi, ḽaithara, zwishumiswa zwa u thusa u phaḽaladza mulilo (pheḽhirolo na pharafeni), makhanḽela, xasi na maḽenzhe a pharafeni na hithara kule na vhana.
"
"ungaphosi izinto ezibhe bhethekisa masinya umli lo emalangabini.
","vha songo shela zwishumiswa zwa u thusa u phaḽaladza mulilo muliloni.
"
"lokhu kuyingozi kakhulu.
","hezwi zwi khombo vhukuma.
"
"ungavumeli abantwana badlale eduze kophalafini noma izibani zegesi noma izifudumezi.
","vha songo tendela vhana vha tshi tambela tsini na maḽenzhe a pharafeni kana a xasi kana hithara.
"
