xho,eng
"kunganqandwa njani ukukhulelwa kwamantombazana afikisayo vukuzenzele unnamed zikhona iindle la zokunqanda ukukhulelwa kwamantombazana afikisayo, eziquka ukukhetha ukungabelani ngesondo ude ube utshatile okanye ukulungele ukuba naba ntwana.
","how to prevent teenage pregnancy vukuzenzele unnamed there are various ways to prevent teenage pregnancy, including choosing not to have sex until you are married or ready to have children.
"
"abanye abantu bacinga ukuzila ukwabelana ngesondo (ukukhetha ukungabelani ngesondo ude ube utshatile) yindlela yakudala, ngelixa abanye becinga ukuba yeyona ndlela ilungileyo yokuziphatha.
","some people think that abstinence (choosing to not have sex until you are married) is oldfashioned, while others think it is morally the best thing to do.
"
"amantombazana afikisayo, ngoko ke, kufuneka azithathele ngokwawo isigqibo.
","teenagers, however, need to decide for themselves.
"
"uninzi lwabantu alufuni kulinda lude lutshate phambi kokuba lwabelane ngesondo.
","many people do not want to wait until they are married before having sex.
"
"kwakhona alufuni kungxama ukwenza nantoni na luze lwenze iimpazamo ezinkulu.
","they also do not want to rush into anything and make costly mistakes.
"
"ngamanye amaxesha bathatha isigqibo sokucinga ukuba yeyona nto ingcono ukulibazisa ukuzibandakanya kwezesondo bade babe badala ngokwaneleyo, futhi bangabantu abayaziyo into abayifunayo, umntu athandane nomntu omnye aqinisekileyo ngaye kwaye abe uyaphangela.
","they often decide that delaying having sex until they are older, more responsible, in a stable relationship with one partner and have a job, is the best thing to do.
"
"ukuba ukhetha ukuzila okanye ukulibazisa ukwabelana ngesondo, zikhona ezinye izinto onokuzenza ukuzikhusela: bakhethe ngononophelo abahlobo bakho.
","if you choose abstinence or delaying sex, there are other things you can do to protect yourself: choose your friends care fully.
"
"abahlobo kufuneka bakuqwenelele okukulungeleyo kwaye kufuneka basihloniphe isigqibo sakho sokunga belani ngesondo.
","friends should want what is best for you and should respect your decision not to have sex.
"
"lumkela ukuzifaka kwiimeko ezingakhuselekanga, njengabahlobo abasela utywala okanye abasebenzisa iziyobisi kuba oku kungakhokelela ekubeni kwabelanwe ngesondo ngokungakhuselekanga.
","beware of situations that could be unsafe, like friends drinking or taking drugs, that could lead to unsafe sex.
"
"walumkele amaqabane athi ukuba uyawathanda uza kulala nawo.
","beware of partners who claim that you will sleep with them if you love them.
"
"mamela uze ufunde kwabo bathe bakhulelwa besaqala ukufikisa.
","listen to and learn from those who have gone through teenage pregnancy.
"
"bayazazi ii mpazamo kunye nezithi ntelo.
","they know the mistakes and disadvantages.
"
"mamela uze ufunde kubazali bakho ngamava obomi.
","listen to and learn from your parents about their life experiences.
"
"ukuba ugqiba kwelokuba ukuzila ukwabelana ngesondo okanye ukulibazisa ukwabelana ngesondo ayisosigqibo sikulungeleyo kwaye awufuni kulinda, thatha ixesha ufunde malunga nokhuseleko, kuquka izithintelikukhulelwa, ezikukusebenzisa indlela ethile (izixhobo ezifana nekhondomu okanye iipilisi) zokunqanda ukukhulelwa.
","if you decide that abstinence and delaying sex are not the best decisions for you and you would rather not wait, take the time to learn about protection, including contraception, which is using a method (mechanical or chemical) to prevent pregnancy.
"
"zininzi izithintelikukhulelwa ezisebenza ngeendlela ezahlukileyo, kodwa zonke zenzelwe ukunqanda ukukhulelwa.
","there are various contraceptives that work in different ways, but they are all designed to prevent pregnancy.
"
"ziquka izithintelikukhulelwa eziselwayo, ezaziwa ngokuba ‘yipilisi’; izithintelikukhulelwa eziyinaliti; kunye neekhondomu zamadoda nezabafazi.
","they include oral contraception, known as ‘the pill’; injectable contraception; and male and female condoms.
"
"ndingenza ntoni ukuba ndikhulelwe?
","what can i do if i’m pregnant?
"
"ukuba ucinga ukuba ukhulelwe, hamba nomntu omthembayo uye kwikliniki ekufuphi uyokwenza uvavanyo lokukhulelwa.
","if you think you might be pregnant, take someone you trust with you to your nearest clinic to have a pregnancy test.
"
"ukuhlukuhla (ukunikezelwa kwenkathalelo kosana olungekazalwa) kubalulekile kwaye amaxa amaninzi kuqala kwiiveki ezisibhozo ukhulelwe.
","antenatal care (taking care of the unborn baby) is important and usually starts at eight weeks.
"
"ikliniki ekufutshane nawe ingakunceda xa ufuna ukuya kuhlukuhla futhi umsebenzi wenkathalelo yezempilo ongunompilo wakho angakuncedisa ukwenza isicwangciso esikufaneleyo wena nosana lwakho.
","your local clinic can help you with antenatal care and a healthcare worker will assist you to develop a plan that is suitable for you and your baby.
"
"ukuba ukhulelwe, kubalulekile ukuba utye ukutya okusempilweni okunezondlo, uzivocavoce, ulale ngokwaneleyo kwaye ungazisebenzisi iziyobisi nokusela notywala.
","if you are pregnant, it is important to eat healthy nutritious food, exercise, get enough sleep and avoid drugs and alcohol.
"
"*olu lwazi lukhutshwe lisebe lezempilo lakwazulunatala.
","*this information was supplied by the kwazulunatal department of health.
"
"ukukhulelwa usaqala ukufikisa kuza kuba negalelo kubomi bakho bonke, kodwa zikhona iindlela zokuzigcina ukhuselekile ekukhulelweni okungacwangciswanga.","falling pregnant when you are a teenager will affect the rest of your life, but there are ways to keep yourself safe from an unplanned pregnancy."
