"kimontlepopelo ke seemo sa tšhoganyetšo sa bongaka allison cooper basadi bao ba ilego ba itemogela kimontlepopelo ba tloga ba lemoga gabotse tlalelo yeo e hlolwago ke seo, ka baka la dipoelo tše kgonthišišago se go tšwa ditekong tša mohlapologo le tša madi.
","ukukhulelwa okwenzeka ngaphandle kwesibeleko yingozi edinga inkathalelo yezempilo kaxakeka allison cooper abantu basetyhi ni abaye bafuma na ukukhulelwa okwenzeka ngaphandle kwesibeleko babazi kakuhle ubuhlungu bentliziyo obubangelwa koku, ngenxa yeziphumo ezithembisayo ezingqina ukuba bakhulelwe kuvavanyo lomchamo nolwegazi.
"
"tše ka moka ke goya ka ngaka bushy mhlari, mosepedišimogolwane wa dipelego tša kimontlepopelo le malwetši a basadi kua bookelong bja dithuto tša bongaka bja dr george mukhari, yo a hlalošitšego gore kimontlepopelo ga e hwetšagale ka gare ga phagwana ya popelo, fao gantši kimo e bago gona.
","ngokutsho kukagqr bushy mhlari, oyisenior registrar kwicandelo leectopic ob stetrics and gynaecology edr george mukhari academic hospital , ochaze ukuba ukukhulelwa ngaphandle kwesibeleko kukukhulelwa okwenzeke ngaphandle komngxuma wesibeleko.
"
"o boletše gore ka setlwaedi, morago ga gore lee le nontšhwe ke peu ya monna, yeo gantši e diragalago ka gare ga megalapopelo, lee leo le nontšhitšwego le sepela ka gare ga lelapopelo la tsena ka molongwaneng wa popelo fao le kgomarelago ka gare ga popelo gomme lesea la thoma go gola fao.
","uye wathi ngokuqhelekileyo, emva kokuchunyiswa kweqanda yimbewu yobudoda – okuthi kwenzeke ngaphakathi kwemibhobho yesibeleko, iqanda elichunyisiweyo lihamba ngombobho liyokutsho ngaphakathi kumngxuma wesibeleko apho lincamathela khona kwinwebu engaphakathi esibelekweni, aze emva koko umntwana akhule.
"
"""ditiragalong tša kimontle popelo, lee leo le nontšhi tšwego le gola dithong tša mmele tša ka teng.
","""ekukhulelweni okwenzeka ngaphandle kwesibeleko, iqanda elichunyisiweyo lihlala kwezinye iindawo zomzimba.
"
"godimo ga 98% ya ditiragalo tše, dikimontlepopelo gantši di diragala ka gare ga lelapopelo.
","kwiziganeko ezingama98%, olu hlobo lokukhulelwa lwenzeka kwimibhobho yesibeleko.
"
"ditho tše dingwe tše go sa tlwaelegago gore lesea le golela go tšona di akaretša ka thokwana ga lee, ka gare ga phagwana ya ka godingwana ga popelo, ka tlase ga popelo le mo ditšhikeng tša ka mathoko ga popelo,’’ a realo ngaka mhlari.
","iindawo ezingaqhelekanga ziquka indawo esisiyilelomaqanda emzimbeni, emazantsi esisu, emlonyeni wesibeleko nakwisiqwanga esingaphandle kwesibeleko,"" utshilo ugqr mhlari.
"
"ge se se direga, go ka se kgonagale gore leseana leo le ntšhiwe le bušetšwe ko le swanetšego go golela gona ka gona phedišo ya kimo ke kgetho e le noši yeo mosadi a nago le yona.
","xa oku kusenzeka, isihluma sembewu asinakumiliselwa kwenye indawo, into enokwenziwa inye kuphela kukuba sikhutshwe isisu eso.
"
"ngaka mhlari o boletše gore mosadi o nale dikgonagalo tša godimo tša kimontlepopelo ge; a nale malapopelo ao a gobetšego goba ao a šomago ka tsela ye e sego ya setlwaedi ka lebaka la go fetetšwa ka malwetši a thobalano goba ka lebaka la go dira setšari ya malapopelo; a ile a itemogela kimontlepopelo; a sa kgone go ka ima; a nale balekani ba bantši ba thobalano; a goga motšoko (sekerethe).
","ugqr mhlari uthe umntu wasetyhini unamathuba amaninzi okufumana ingxa ki yokukhulelwa okwenzeka ngaphandle kwesibeleko ukuba; unemibhobho yesibeleko eyonakeleyo okanye engaqhelekanga, enokususela kukuba wakhe wanesifo okanye usuleleko lwesifo kule mibhobho alufumene ngokwabelana ngesondo okanye ngotyando kwimibhobho; wakhe wanayo ingxa ki yokukhulelwa okwe nzeke ngaphandle kwesibeleko ngaphambili; akanayo inzala; unamaqabane okwabelana ngesondo amaninzi; utshaya imidiza.
"
"""kimontlepolelo yeo e thubegilego ke seemo se šoro seo se ka tšeago bophelo bja mosadi ebile ke yona e hlolago kudu mahu a go amana le dipelego tša basadi dikgweding tše tharo tša go ima.
","""ukugqabhuka kwale nwebu yambethise isihluma sembewu xa umntu enengxaki yokukhulelwa ngaphandle kwesibeleko kungambulala kwaye kungunobangela ophambili wokusweleka koomama abakhulelweyo kwiinyanga ezintathu zokuqala bekhulelwe.
"
"ditiragalo tša kimontlepopelo di balelwa fela diperesente tše pedi setšhabeng ka kakaretšo,"" a realo ngaka mhlari.
","izehlo zokukhulelwa okwenzeka ngaphandle kwesibeleko zimalunga ne2%,"" utshilo ugqr mhlari.
"
