nso,nbl
"mokgwa wa ho thibela ho ima ha barwetsana vukuzenzele unnamed ho na le ditsela tse fapafa paneng tsa ho thibela ho ima ha ba rwetsana, ho kenyeletsa ho kgetha ho se kene thobalanong ho fihlela o nyalwa kapa o le malalaalaotswe hore o be le bana.
","kungavikelwa bunjani ukuba sidisi kwelutjha vukuzenzele unnamed kuneendlela ezi hlukileko zoku vikela ukuba sidisi kwamatlawana, ezifaka hlangana ukukhetha ukungayi emse meni ukufikela lapho wenda khona namkha nasele ukulungele ukuba nabentwana.
"
"batho ba bang ba nahana hore ho ila (ho kgetha ho se kene thobalanong ho fihlela o nyalwa) ke ntho ya kgale, ha ba bang ba nahana hore ke boitshwaro bo botle ka ho fetisisa.
","abanye abantu badlumbana bona ukuzithiba (ukukhetha ukungayi emsemeni ukufikela lapho benda khona) kusikade, kantike abanye bayakwenyula njengendlela engcono etjengisa ukuziphatha kuhle.
"
"barwetsana, le ha ho le jwalo, ba lokela ho inkela diqeto.
","nanyana kunjalo, kufuze amatlawana azithathele isiquntweso ngokwawo.
"
"batho ba bangata ha ba batle ho emela ho fihlela ba nyalwa pele ba kena thobalanong.
","abantu abanengi abafuni ukulinda ukungena emtjhadweni ngaphambi kokuya emsemeni.
"
"ba boetse ha ba batle ho potlakela dintho mme ba etse diphoso tse bohloko.
","abafuni godu ukurhabela izinto ngalokhoke bagcine sebenze iimphoso ezikulu.
"
"hangata ba etsa qeto ya ho diehisa ho kena thobalanong ho fihlela ha ba se ba hodile, ba na le boikarabelo, ba le dikamanong tse tsitsitseng le molekane a le mong, mme ba sebetsa hobane e le taba e hlwahlwa ka ho fetisisa.
","kanengi vane baqunte ngokuriyadisa ukuya emsemeni bebabe bakhulu, bakghone ukuziphendulela, babe nobudlelwano bezethando obunzinzileko nomlingani munye begodu nasele basebenza, kuyinto engcono khulu.
"
"haeba o kgetha ho ila kapa ho diehisa thobalano, ho na le dintho tse ding tseo o ka di etsang ho itshireletsa: kgetha metswalle ka hloko.
","nawukhetha ukuzithiba namkha ukuriyadisa ukuya emsemeni, kunezinye izinto ongazenza ukuzivikela: khetha ngokuyelela aba ntu ofuna babe bangani bakho.
"
"metswalle ya hlooho ya kgomo e lokela ho o lakaletsa tse ntle mme e lokela ho hlompha qeto ya hao ya ho se kene thobalanong.
","kufuze abangani bakufisele okuhle ngaso soke isikhathi begodu kufuze bahloniphe isiqunto sakho sokungayi emsemeni.
"
"ela hloko maemo a ka bang kotsi, jwaloka metswalle e nwang kapa e sebedisang dithethefatsi, seo se ka lebisa thobalanong e sa boloke hang.
","yelela ubujamo obungaba ngobungakaphephi, nje ngabangani abaselako namkha abasebenzisa iindakamizwa, oku ngadosela ekutheni uye emsemeni ngendlela engakaphephi.
"
"ela hloko molekane ya reng o tla robala le yena haeba o mo rata.
","khambela kude nomli ngani okukatelela bona ukuya naye emsemeni ku sitjengiso sethando lakho.
"
