sep,nso
"tšea karata ya gago ya lengwalo la bootledi vukuzenzele unnamed boradifatanaga bao ba dirilego dikgopelo tša karata ya lengwalo la bootledi le leswa goba leo le tsošološitšwego goba phemiti ya bootledi bja profešenale (prdp) gare ga diphalane le manthole tša ngwaga wa 2021 ba hlohleletšwa go ya go di tšea.
","lata karete ya hao ya laesense ya ho kganna vukuzenzele unnamed bakganni ba entseng dikopo tsa dilaesense tsa ho kganna kapa ho ntjhafatsa dikarete kapa diphomete tsa seporofeshenale tsa ho kganna (prdp) pakeng tsa mphalane le tshitwe ngwahola ba kgothaletswa ho ya di lata.
"
"go ya ka lekala la taolo ya sephethephethe ditseleng (rtmc), ke fela 42% ya dikarata tša lengwalo la bootledi tše 32 748 tše di tšweleditšwego sebakeng se tšeo di tšerwego ke beng ba tšona.
","ho ya ka koporasi ya bolaodi ba sephethephethe mebileng (rtmc), ke feela 42% ya dikarete tsa dilaesense tsa ho kganna tse 32 748 tse hlahisitsweng nakong ena tse latuweng.
"
"tona ya dinamelwa fikile mbalula o butše disentha tša mangwalo a bootledi tša rtmc go la midrand le eco park ngwagola, go šogana le tšhalelomorago ya mangwalo a bootlodi ao a feletšwego ke nako ka lebaka la covid19.
","letona la dipalangwang fikile mbalula le butse ditsi tsa phano ya dilaesense tsa rtmc midrand le eco park ngwahola, e le karabelo ya tshallomorao ya dilaesense tsa ho kganna tse felletsweng ke nako ka lebaka la covid19.
"
"akhaonte ya dikarata tša mangwalo a bootledi, yeo e gatišago mangwalo a bootledi, e šoma bošego le mosegare go oketša tšweletšo gomme e tšwelapele go fediša tšhalelomorago mo mafelelong a phupu.
","akhaonte ya dikarete tsa dilaesense tsa ho kganna, e hatisang dilaesense, e sebetsa bosiu le motsheare ho akofisa tlhahiso mme e ntse e le motjheng wa ho fedisa tshallomorao mafelong a phuptjane.
"
"rtmc e bolela gore batho ba ka lebelela maemo a dikgopelo tša bona pele ba e ya go tšea dikarata tša bona sentheng ya diteko.
","rtmc e re batho ba lokela ho lekola boemo ba dikopo tsa bona pele ba leba ditsing tsa diteko ba ilo di lata.
"
"se se ka dirwa ka sms goba ka inthanete.
","sena se ka etswa ka sms kapa ka inthanete.
"
"go botšiša ka ga lengwalo la bootledi ka sms go botšiša ka lengwalo la bootledi, bakgopedi ba ka romela nomoro ya id ya bona ka sms mo go 33214. morago ba tla amogela ye nngwe ya disms tša ka mo fase: application received: the application was received, but has not yet been processed.
","ho lekola ka sms boemo ba dikopo tsa bona tsa dilaesense tsa ho kganna bakeng sa bothata ba dilaesense tsa ho kganna, baikopedi ba ka romela dinomoro tsa bona tsa id ka sms ho 33214. ebe ba tla fumana e nngwe ya disms tse ka tlase mona: application received: the application was received, but has not yet been processed.
"
"production queue: the card is still being processed and manufactured.
","production queue: the card is still being processed and manufactured.
"
"produced and ready for collection: the card will be ready for collection in 21 days.
","produced and ready for collection: the card will be ready for collection in 21 days.
"
"however, due to the high number of cards being processed, the rtmc advises you to wait 35 days before going to collect.
","however, due to the high number of cards being processed, the rtmc advises you to wait 35 days before going to collect.
"
"problem card: there is a problem with the production of your card.
","problem card: there is a problem with the production of your card.
"
"please return to the testing centre.
","please return to the testing centre.
"
"go botšiša ka kgopelo ya prdp, romela nomoro ya gago ya id ka sms mo go 44220. go botšiša ka ga lengwalo la bootledi ka inthanete gape o ka tseba maemo a kgopelo ya gago mahala ka inthanete.
","ho lekola boemo ba kopo ya hao ya prdp, romela nomoro ya id ka sms ho 44220. ho lekola ka inthanete boemo ba dikopo tsa bona tsa dilaesense tsa ho kganna o ka boela wa tseba boemo ba kopo ya hao mahala ka inthanete.
"
"etela online.
","etela online.
"
"natis.
","natis.
"
"gov.
","gov.
"
"za.
","za.
"
"bula profaele gomme o tsene go yona.
","iketsetse porofaele mme o kene websaeteng.
"
"kgotla maemo a kgopelo ya gago godimo ga weposaete ye.
","tobetsa boemo ba kopo ya hao websaeteng.
"
"bao mangwalo a bona a bootledi a feletšwego ke nako gare ga hlakola 2020 le 31 phato 2021, gomme ba tshetšwe ke letšatši la mafelelo la tsošološo la 5 mopitlo, ba eletšwa go hwetša lengwalo la bootledi la nakwana ge ba dira kgopelo ya tsošološo ya lengwalo la bona gore ba dule ba latela molao.
","bao dilaesense tsa bona di felletsweng ke nako pakeng tsa tlhakubele 2020 le 31 phato 2021, ba tlotsweng ke letsatsi la ho qetela la ho ntjhafatsa la 5 motsheanong, ba eletswa ho iphumanela laesense ya ho kganna ya nakwana ha ba etsa kopo ya ho ntjhafatsa bakeng sa ho dula ba ntse ba imatahantse le molao.
"
"mola disentha tša rtmc di bulwa mošupologo go fihla sontaga go tloga 7 mesong go fihla 9 mantšiboa, maloko a setšhaba a hlohleletšwa go šomiša menyetla ya methaladi ye mekopana ka malabohlano le mafelelong a beke.","leha ditsi tsa rtmc di butswe mantaha ho isa sontaha ho tloha ka hora ya bosupa hoseng ho fihlela ka hora ya borobong bosiu, setjhaba se kgothaletswa ho nka monyetla wa mela e mekgutshwane ka bolabohlano le mafelong a beke."
