tsn,afr
"mo marigeng ano dirang bonnete jwa gore ga le fisiwe ke molelo allison cooper jaaka mariga a tsena batho ba tlhoka go ikomosa, mme seno se tlhola dikotsi tsa go fisiwa ke dikerese, melelo, ditofo, dihitara le metsi a a belang.
","voorkom brandwonde hierdie winter allison cooper net soos wat die winter die behoefte aan warmte mee bring, verhoog dit ook die risiko van brandwonde weens kerse, vure, stowe, verwarmers en kookwater.
"
"""dipalo tsa batho ba ba fisiwang ke molelo mo marigeng di tlhatloga ka bontsi ka jalo batsadi le ba tlhokomedi ba bana ba tlhoka go ntsha matlho dinameng go netefatsa gore bona le bana ba bona ba babalesegile,"" ga rialo ngaka gary dos passos.
","""brandwonde neem drama ties toe in die winter en ou ers en versorgers moet ekstra versigtig wees om hul eie en hulle kinders se veiligheid te verseker,"" sê dokter gary dos passos.
"
"ngaka dos passos ke tlho go ya yuniti ya dikgobalo tsa molelo mo bookelong jwa red cross war memorial children’s hospital (rcwmch) mme e bile gape ke tokololo ya komitikhuduthamaga ya mokga tlho wa aforika borwa wa dikgobalo tsa molelo.
","hy is die hoof van die eenheid vir brandwonde aan die rooikruis oorlogs gedenkkinderhospitaal (rc mch) en lid van die uitvoerende komitee van die brandvere niging van suidafrika.
"
"le fa tota dikotsi tsa molelo go sena gore re ka di tshabela, go na le ditsela di le dintsi tse re ka tilang dikgobalo tseno ka tsona mme tsona ke go ntsha matlho dinameng, batsadi ba nne le tlhokomelo e e tlhokegang le ka go itlho komela.
","alhoewel brande wat per ongeluk ontstaan onvermyde lik is, kan talle brandwonde voorkom word deur waaksaam heid, behoorlike volwasse toesig en veiliger gewoontes aan te kweek.
"
"""dikgobalo tsa go fisiwa ke molelo di tlhola matsapa a a seng kana ka sepe mme mabadi a dikgobalo tseno mo mmeleng le mo tlhaloganyong a nnela ruri mo bathong ba ba fetileng mo dikgobalong tseno le mo go ba malapa a bona,"" ga rialo ngaka dos passos.
","""brandwonde weens vlamme is rampspoe dige beserings met wese nlike lewenslange fisiese en psigososiale gevolge vir die beseerde oorlewendes en hulle gesinne,"" sê dr. dos passos.
"
"go thibela go fisiwa ke moleloka fa ntlong o ka thibela dikgobalo tsa molelo.
","hoe om brandwonde te voorkombrandwonde in en om die huis kan voorkom word.
"
"buisa dikgato tse di latelang tsa go go tlhaba botlhale ka ga seno: beela kgakala mokgwaro le matlhokwana, dilaetara, ditlhotlhi tsa molelo tse di jaaka peterole le parafene, dikerese, gase mmogo le lebone le hitara tse di tlhotlhiwang ka pa rafene.
","hier is ‘n paar wenke:l hou vuurhoutjies, aanste kers, versnelmiddels (petrol en paraffien), kerse, gasen paraffienlampe en verwarmers buite bereik van kinders.
"
"o seke wa latlhela ditlho tlhi tsa molelo mo kgabo ng ya molelo.
","l moenie versnelmiddels op vlamme gooi nie.
"
"seno se ka tlhola kotsi e kgolo thata.
","dit is ui ters gevaarlik.
"
"o se tlogele bana go tsha mekela gaufi le lebone kgotsa hitara tse di dirisa ng parafene kgotsa gase.
","l moenie toelaat dat kinders na by paraffienof gaslampe of verwarmers speel nie.
"
"o seke wa apaya o kukile ngwana kgotsa wa tlogela bana ba le bang mo phaposiboapeelong.
","l moenie ‘n kind optel terwyl jy kook nie of ‘n kind sonder toesig in of naby die kombuis los nie.
"
"netefatsa gore ketlele e beetswe kgakala mo bana ba ka se e fitlheleleng.
","l maak seker dat die ketel buite bereik is.
"
"fa go kgonagala dirisa ketlele e e senang mogala.
","koop ‘n koord lose ketel as jy kan. lmoenie kookwaterkanne of potte met kookwater na by kinders ronddra nie.
"
"o seke wa kukana le kane ya go bedisa metsi kgotsa pitsa e e nang le metsi a a bedileng gaufi le bana.
","ldraai potte se hand vatsels weg van die voorkant van die stoof af.
"
"fa o baya dipitsa mo isong netefatsa gore megokgo ya tsona e furaletse bokwantle jwa setofo.
","l sit kerse in ‘n diep glas bottel met sand onder in sodat hulle geblus word as hulle omval.
"
"tlhomela kerese mo galaseng e e tshetsweng mmu gore fa go ka diragala gore e we mmu oo o kgotholele mo go yona mme o e time.
","l moenie vure met sand bedek nie.
"
"o seke wa tima kgabo ya molelo ka mmu.
","die sand behou die hitte vir ure.
"
"molelo o kgona go batalala ka fa gare ga mmu sebaka sa diura di le dintsi.
","l tap eers koue water in die bad en dan warm water.
"
"fa o tshela metsi a go tlha pa mo bateng simolola ka go tshela a a tsididi mme morago o a tswake ka a a bolelo.
","toets altyd eers die badwater met jou elmboog.
"
