ven,nso
"vhaongi vha zwifuwo vha u tou thoma kha ḽa afrika tshipembe vho ṱhaphudza ngudo dzavho allison cooper u vha muṅwe wa vha ongi vha zwifuwo vha u thoma kha ḽino shango ndi muḽoro wo wedzaho kha mudzulapo wa randburg ane a vha phu melela mthimkhulu (21), ane lufuno lwa zwifuwo khae lwo thoma a tshe muṱuku.
","baoki ba pele ba diphoofolo ba afrika borwa ba fumana mangolo a thuto allison cooper ho ba dirutehi tsa ho qala ho ba baoki ba diphoofolo ke toro e phethahetseng bakeng sa modudi wa randburg phumelela mthimkhulu (21), eo esale a na le lerato la diphoofolo ho tloha bongwaneng.
"
"mthimkhulu u kha ḓi tou bva u ṱhaphudza ngudo dzawe dza bachelor of veterinary nursing fhaḽa yunivesithi ya pretoria (up), ine ya vha yone i yoṱhe i pfumbudzaho vhaongi vha zwifuwo kha ḽa afrika tshipembe.
","mthimkhulu haufinyana tjena o fumane mangolo a thuto yunivesithing ya pre toria (up), e leng sona feela setheo sa thupello ya bo ngaka ba diphoofolo afrika borwa, ka lengolo la kgerata ya bachelor of veterinary nursing.
"
"""a zwi athu tou nwelela zwavhuḓi kha nṋe.
","""ke ntse ke sa kgolwe hore ke nna enwa.
"
"u ḓivha zwauri ndo vha tshipiḓa tsha kiḽasi ya u thoma u gudela digirii, ine yo dzhia miṅwaha minzhi u i khunyeledza, ndi zwithu zwa nṱhesa.
","ho tseba hore ke ne ke le karolo ya sehlopha sa pele sa ho etsa lengolo lena, e leng se nkukileng dilemo, ke tlotla.
"
"""""ndi khou livhuwa zwikhala na mavothi zwine zwa ḓo vulea kha riṋe vhaongi u isa pfunzo dzashu phanḓa khathihi na u pfumbudzwa lwa tshipentshela kha buḓo ḽashu, zwe zwa vha zwi tshi konḓa u zwi ita tshifhinga tsho fhiraho, u ralo.
","""ke lebohela menyetla le mamati a tla buleha bakeng sa rona baoki hore re ntshe tse dithuto tsa rona pele le ho ipabola ka hara lekala la rona, e leng se neng se le boima ho se etsa nakong e fetileng,"" o rialo.
"
"""vho tamarin fisher, muphuresidennde wa dzangano ḽa vhaongi vha zwifuwo kha ḽa afrika tshipembe, vha ri heḽi ndi ḽiga ḽa vhuṱhogwa kha ḓivhazwakale ya buḓo heḽi lwa miṅwaha ya 42 yo fhiraho tshe ḽa vha hone.
","tamarin fisher, e leng moporesidente wa mokgatlo wa baoki ba diphoofolo wa afrika borwa, o re ona ke mokolokotwane o moholo ka ho fetisisa nalaneng ya dilemo tse 42 lekaleng lena.
"
"""digirii iyi ntswa ya miṅwaha miraru i ḓo ṋetshedza vhaongi vho ṱhaphudzaho pfunzo tshi khala tsha uri vha ḓiṅwalisele u isa pfunzo dzavho phanḓa, zwine ra fulufhela uri zwi ḓo swikisa kha uri vha swikelele digirii dza honours, masters khathihi na phd.
","""lengolo lena le letjha la dilemo tse tharo le tla neha baoki ba nang le mangolo monyetla wa ho ingodisetsa dithuto tsa kamora dikgerata, moo re tshepang hore ba tla qetella ba fumane mangolo a honours, masters le a bongaka (phd).""
"
"""vhaongi vha zwifuwo vha onga mbonzhe khathihi na malwadze kha zwifuwo, u fana na zwine dokotela a ṋetshedza dzilafho ḽa muta kalo kha vhathu.
","baalafi ba diphoofolo ba alafa maqeba a diphoofolo le mahloko, ho tshwana feela jwaloka ha ngaka e fana ka kalafo ya bophelo bo botle bathong.
"
"vhaongi vha zwifuwo ndi vha ndeme kha sia heḽi ḽa zwifuwo, u ralo mthimkhulu.
","baoki ba diphoofolo ba bohlokwa dihlopheng tsa seporofeshenale tsa dingaka tsa diphoofolo, ho rialo mthimkhulu.
"
"""tshiṅwe tsha zwikili zwa ndeme tshine muongi a tea u tshi sumbedzisa ndi ndondolo ya mulwadze, u davhidzana na vhathu, u thusa avho vha re kha buḓo ḽa zwifuwo nga maitele, kha thihi na zwiṅwevho zwine zwa nga thusa vhuongelo uvho ha zwifuwo uri vhu shume zwavhuḓisa.
","""a mang a maitsebelo a bohlokwa ao mooki a lokelang ho a bontsha ke tlhokomelo ya bakudi, ho buisana le ditlelaente, ho thusa dingaka tsa diphoofolo ka ditsamaiso, le ntho e nngwe le e nngwe e tla thusa sepetlele sa diphoofolo ho sebetsa ka tsela e hlwahlwa ka ho fetisisa.
"
