tso,afr
"a hi veni nyandza yin’we eka ku lwisana ka hina na covid19 vukuzenzele unnamed misava hinkwayo yi khome ku tika swinene hi ntungu wa xitsongwatsongwana xa khorona lexi ku hangalaka ka xona ku endlekaka hi xihatla.
","kom ons staan saam in ons stryd teen covid19 vukuzenzele unnamed die hele wêreld is in die meedoënlose greep van die koronaviruspandemie, wat vinnig versprei het.
"
"nsawutiso a wu se kumeka ku fikela sweswi.
","daar is nog nie n entstof nie.
"
"emisaveni hinkwayo, ku tlula 3.4 wa timiliyoni ta vanhu ku vuriwa leswaku va tluleriwile, naswona ku tlula 240,000 wa vona va hundzile emisaveni.
","meer as 3,4 miljoen mense wêreldwyd het die virus en meer as 240 000 het reeds daaraan gesterf.
"
"leyi i mikarhi yo tika swinene.
","ons beleef werklik wanhopige tye.
"
"loko xiyimo xa mhangu xi hlambanyiwile mavhiki ya tsevu lama ma nga hundza, afrikadzonga a yi ri na 61 wa ntlulelo wa vuvabyi bya xitsongwatsongwana xa khorona lebyi tivekaka.
","toe die nasionale rampstaat ses weke gelede verklaar is, het suidafrika slegs 61 bevestigde koronavirusinfeksies gehad.
"
"hambileswi nhlayo a yi ri yitsongonyana, mavonelo ya vativinkulu na ntokoto wa matiko ya misava ma kombise leswaku ntlulelo wa vuvabyi wu ta tlakuka swinene.
","ondanks die betreklike klein hoeveelheid, het deskundiges se menings en internasionale ervaring, aangedui dat infeksies eksponensieel gaan styg.
"
"ndzi vule leswaku magoza ya xihatla na yo tika ma fanele ma tekiwa.
","ek het gesê dat dringende en drastiese stappe geneem sou moes word.
"
"magoza walawo – lama ya katsaka ku pfaleriwa ka tiko hinkwaro na ku pfariwa ka mindzelekano ya hina – ma kombise ku tirha kahle swinene eka ku nonokisa ku hangalaka ka vuvabyi.
","daardie maatreëls, insluitend n landwye staat van inperking en die sluit van ons grense, was doeltreffend om verspreiding van die siekte te vertraag.
"
"leswi swi kotekile hikuva maafrikadzonga yotala ma landzelerile swilaveko swa ku pfaleriwa, va vona leswaku ku na mpfhuka wo ringanela exikarhi ka vona na vanhu van’wana na ku tirhisa swipfalaxikandza.
","dit was moontlik omdat die meeste suidafrikaners die inperkingsreëls, soos die toepas van sosiale afstand en die dra van gesigmaskers, nagekom het.
"
"ndza mi ndhundhuzela eka leswi na ku ku tinyiketa ka n’wina hinkwako loku mi ku endleke.
","ek prys julle hiervoor, asook vir al die ander opofferings wat julle gemaak het.
"
"eka nkarhi wa sweswi wa ku kongoma emahlweni ka ntungu, matiko man’wana ma na ntlulelo wa vuvabyi wotala swinene ku tlula hina.
","ander lande het in dié stadium van die pandemie se verloop, baie meer infeksies as ons gehad.
"
"ku fikela sweswi leswi ku nga masiku ya 46 ku sukela loko hi vile na mhangu ya hina ya vu 100 ya xitsongwatsongwana xa khorona – hi na timhangu ta 6, 783 leti tivekaka.
","tot op hede, 46 dae sedert ons ons 100ste koronavirusgeval aangeteken het, het ons 6 783 bevestigde gevalle.
"
"italy leyi nga na nhlayo ya vanhu va tiko leyi ringanaka na ya hina yi ve na timhangu ta ku tlula 140, 000, naswona amerika yi ve na kwalomu ka 700, 000 wa timhangu leti tivekaka eka masiku ya 46. kambe leswi a swi vuli leswaku nghozi yi hundzile.
","op die 46dae merk het italië, met n soortgelyke bevolkingstal as ons, meer as 140 000 gevalle en die verenigde state ongeveer 700 000 bevestigde gevalle, gehad.
"
"a hi se fika emaninginingini ya ntlulelo wa vuvabyi eafrikadzonga.
","dit beteken egter nie dat die gevaar nou verby is nie.
"
"timodlolo ta sayense hinkwato tikomba leswaku mpimo wa ntlulelo wa vuvabyi wu ta ya emahlweni wu tlakuka hi rivilo lerikule eka tin’hweti ti nga ri tingani leti nga ta landzela.
","ons het nog glad nie die toppunt van infeksies in suidafrika bereik nie.
"
"hambiswiritano, rivilo leri xitsongwatsongwana xi hangalakaka hi rona na nhlayo ya vanhu lava hetelelaka va tluletiwa hi vuvabyi yi ta ya hi leswi hi nga ta swi endla sweswi.
","al die wetenskaplike modelle toon dat die infeksiekoers in die volgende paar maande steeds teen n baie vinniger koers kan styg.
"
"leswi hi swona ku olovisiwa ka ku pfaleriwa ku faneleke ku nonoka no va hi vukheta.
","die tempo waarteen die virus versprei en die aantal mense wat uiteindelik die virus gaan opdoen, sal egter bepaal word deur wat ons nou doen.
"
"leswi hi swona swi endlaka leswaku swinawana swotala swi fanele ku tshama swa ha ri kona, naswona i swa nkoka swinene leswaku vanhu va swi landzelela.
","dit is waarom die staat van inperking geleidelik en versigtig verslap moet word.
"
"ndza swi tiva leswaku swi tika ku fikela kwihi, naswona ndza swi twisisa swivilelo leswi votala varikwerhu va nga na swona hi mayelana na hilaha swinawana leswi swi nghenelelaka no hunguta timfanelo ta vona hakona.
","dit is om dié rede dat baie regulasies steeds gehandhaaf moet word en waarom dit absoluut noodsaaklik is dat mense dit nakom.
"
"kambe hinkwaswo leswi i swa nkoka.
","ek weet hoe moeilik dit is en ek verstaan die besorgdheid van baie van ons landgenote oor hoe dié regulasies inbreuk maak op hulle regte en dit beperk, maar dit is alles noodsaaklik.
"
"swikongomelonkulu swa hina eka hinkwaswo i ku sirhelela vutomi.
","ons oorheersende doelwit is om lewens te red.
"
"ku siya mpfhuka wo ringanela exikarhi ka wena na munhu wun’wana na nsivelamavabyi lowu faneleke swa ha ri emahlweni na ku va xisirhelelo xi ri xoxe eka nkayankayo lowu.
","sosiale afstand en behoorlike higiëne is steeds ons beste en enigste beskerming in dié stryd.
"
"leswi hi swona swi seketelaka swinawana leswi hi swi vekeke eka xiyimo xa 4 xa ku angula ka hina.
","dit is wat die regulasies wat ons vir vlak 4 van ons reaksie ingestel het, teweegbring.
"
"leswi hi swi tekeleke enhlokweni swi simekiwile eka vumbhoni lebyi kambisisiweke, datha ya xisayense na xiikhonomiki na maendlelo ya matiko ya misava lawa ya fambaka emahlweni.
","ons oorwegings is gegrond op empiriese bewyse, sowel as wetenskaplike en ekonomiese data en internasionale beste praktyk.
"
"eka ku ahlula ka 1995 ka khoto ya vumbiwa leyi nga herisa xigwevo xa ntambhu, muavanyisi arthur chaskalson u tsale: ""mfanelo ya vutomi na ndzhuti i swa nkoka swinene eka timfanelo ta ximunhu hinkwato na ku va xihlovo xa timfanelo ta munhu tin’wana.
","regter arthur chaskalson het in 1994 in die uitspraak van die grondwetlike hof wat die doodstraf as onwettig verklaar het, geskryf: ""die regte tot lewe en waardigheid is die belangrikste menseregte en die bron van alle ander persoonlike regte.
"
"loko hi tiboha hina vinyi eka rixaka leri tumbulukeke eka ku tekeriwaenhlokweni ka timfanelo ta ximunhu, swa laveka leswaku hi vona nkoka wa timfanelo letimbirhi ehenhla ka hinkwato"".
","deur onsself aan n samelewing wat op die erkenning van menseregte gegrond is, te verbind, word daar van ons vewag om dié twee regte bo alle ander te stel.
"
"swinawana leswi hi swi vekeke swi tumbuluxiwe eka ku tiboha kwaloko eka vutomi na ndzhuti, naswona leswi tiyisisaka – eka swiyimo leswi swo tika swonghasi – ku hungutiwa swa xikarhana eka timfanelo tin’wana, ku fana na ntshuxeko wo fambafamba na ku tihlanganisa.
","""die regulasies wat ons ingestel het, is gegrond op daardie toewyding aan lewe en waardigheid en dit regverdig, in dié uiterste omstandighede, tydelike beperkings op ander regte, soos vryheid van beweging en assosiasie.
"
"hi ku endla tano, afrikadzonga a yi fani na matiko man’wana layotala.
","deur dit te doen, het suidafrika nie anders as baie ander lande opgetree nie.
"
"kwalomu ka wun’we xa ntlhanu xa nhlayo ya vanhu va matiko ya misava yi le ka nhlambulo kumbe ku pfaleriwa ka tiko hinkwaro, laha nhlayo yi tlakukaka hi xihatla eka ku angula eka mitlulelo ya vuvabyi.
","daar word beraam dat n vyfde van die wêreld se bevolking onder kwarantyn of in n nasionale staat van inperking is, terwyl dié getal vinnig styg in reaksie op toenemende infeksies.
"
"leswi swi katsa matiko lawa ma nga na nhlayo ya vanhu va tiko leyi nga yikulu eka ya hina, ku fana na indiya leyi nga na 1.5 wa tibiliyoni ta vanhu.
","dit sluit lande met aansienlik groter bevolkings as ons s'n in, soos indië, met 1,5 miljard mense.
"
"matiko yotala ma te na milawu leyi bohaka vanhu ku tshama emakaya exikarhi ka tiawara to karhi ku fana na lowu sweswi wu nga kona laha.
","tientalle lande het aandklokreëls ingestel, soos wat nou hier ingestel is.
"
"swipimelo swa mafambafambelo swi kona eka matiko yo hlaya.
","beperkings op beweging is in verskeie lande ingestel.
"
"eunited kingdom na le dorobeninkulu ra furwa, paris , ku titoloveta ku pimeriwe eka tiawara to karhi na le ka mpfhuka wo karhi wa le kaya ra wena.
","in brittanje en die franse hoofstad, parys, is openbare fisiese oefening tot sekere ure en binne n sekere afstand van n mens se huis af, beperk.
"
"magoza yo na fana na ku khoma no sivela lama fanaka na ya hina ma kona ematikweni yo hlaya.
","inperkingen voorkomingsmaatreëls wat soortgelyk aan ons s'n is, is in verskeie lande ingestel.
"
"xikombiso, ku xavisiwa ka byalwa hi nkarhi wa ku pfaleriwa, ku arisiwa kumbe ku yirisiwa eka matiko yotala na hi mifumo ya miganga, ku katsa na swiphemu swa mexico , hong kong na greenland lawa n’hweti leyi nga hundza ma nga yirisa ku xavisiwa ka byala hi nkarhi wa ku pfaleriwa ku hunguta ntlulelo wa vuvabyi na ku tlhela ku siveriwa madzolonga ehenhla ka vamanana na vana.
","byvoorbeeld, die verkoop van alkohol tydens die inperking is in verskeie grondgebiede en deur plaaslike regerings beperk of verbied, insluitend dele van meksiko, hongkong en groenland, wat verlede maand n verbod op alkoholverkope tydens die inperking ingestel het om infeksies asook ‘geweld teen vroue en kinders' te beperk.
"
"ku ve na swibumabumelo swotala swo huma eka vaaki hi mayelana na xiboho xa mfumo xo yisa emahlweni ku arisiwa ku xavisiwa ka fole eka xiyimo xa 4. xiboho xo fana na lexi swa boha leswaku xi va na swisolo, kambe swi hoxekile ku ehleketa leswaku ku na vaholobye kumbe phuresidente loyi a endlaka no vulavula ku rhandza eka mhaka leyi.
","die regering se besluit om die verbod op tabakprodukte in vlak 4 te verleng, het heelwat openbare kommentaar uitgelok.
"
"hi ti 23 dzivamisoko, ndzi tivise leswaku ku xavisiwa ka fole ku ta pfumeleriwa eka xiyimo xa 4. leswi a swi simekiwe eka vonelo ra huvo ya vulerisi ya xitsongwatsongwana xa khorona ya rixaka (nccc), naswona a ri ri eka rimba ra mpfampfarhuto leri a ri hangalasiwe leswaku ku tihlanganisiwa harona.
","n besluit soos hierdie gaan omstrede wees, maar dit is verkeerd om te beweer dat ministers of die president net sê en doen wat hulle wil oor hierdie saak.
"
"loko swi ta va swi langutisisiwile no kanerisana hi swona, nccc yi tlhele yi langutisa xiboho xa yona hi mayelana na fole.
","ek het op 23 april aangekondig dat die verkoop van sigarette tydens vlak 4 toegelaat sou word.
"
"hikwalaho, swinawana swi cinciwile hi khabinete na ku tivisiwa hi holobye nkosazana dlaminizuma hi ti 29 dzivamisoko laha ku ndlandlamuxiweke na ku arisiwa.
","dit was gegrond op die mening van die nasionale koronavirusbeheerraad (nkb) soos vervat in die konsepraamwerk wat vir konsultasie gepubliseer is.
"
"lexi a xi ri xiboho xa hinkwerhu naswona switatimente swa vaaki leswi endliweke hi mina swin’we na holobye hi ku yimela, na ku nyikiwa matimba, hi hinkwavo lava ndzi va rhangelaka.
","die nkb het na deeglike oorweging en bespreking, sy posisie oor tabak heroorweeg.
"
"xinawana xin’wana na xin’wana lexi hi xi vekeke xi tekeriwe enhlokweni hi vukheta.
","dit het daartoe gelei dat die die regulasies wat deur die kabinet bekragtig is en op 29 april deur minister nkosazana dlaminizuma aangekondig is, die verbod verleng het.
"
"endleleni hi tihlanganise na vativinkulu va swa vutshunguri, mihlangano yo hambanahambana na tiindhasitiri to hambana.
","dit was n gesamentlike besluit en die openbare verklarings deur my en die minister is namens en volgens die mandaat van die kollektief wat ek lei, gedoen.
"
"hi tekile xiboho hi leteriwile hi mihlangano ya matiko ya misava na mitokoto ya matiko man’wana.
","elke regulasie wat ons ingestel het, is deeglik oorweeg.
"
"ntiyiso wa kona hileswaku hi le ka xiyimo xo tika swinene.
","ons het voortdurend mediese deskundiges, verskeie kiesafdelings en verskillende industrieë geraadpleeg.
"
